#separator:tab
#html:true
#notetype:MCAT Application
#columns:Stem	Passage	Answer	Explanation	Concept	Grounding	Deck	Tags
#deck column:7
#tags column:8
An enzyme follows Michaelis-Menten kinetics with a Km of 2 mM and a Vmax of 100 nmol/min. A researcher doubles the substrate concentration from 2 mM to 4 mM. Which of the following best describes the effect on reaction velocity?<br>A) Velocity doubles from ~50 nmol/min to ~100 nmol/min.<br>B) Velocity increases from ~67 nmol/min to ~100 nmol/min.<br>C) Velocity increases from ~50 nmol/min to ~67 nmol/min.<br>D) Velocity remains unchanged because the enzyme is already saturated.		C) Velocity increases from ~50 nmol/min to ~67 nmol/min.	Using v = Vmax[S]/(Km + [S]): at [S]=2 mM, v = 100×2/(2+2) = 50 nmol/min; at [S]=4 mM, v = 100×4/(2+4) ≈ 67 nmol/min. Because the enzyme is only half-saturated at [S]=Km, doubling substrate yields a sub-proportional increase, not a doubling. Option A incorrectly assumes a linear relationship; option B misidentifies the starting velocity; option D is wrong because the enzyme is not saturated until [S] &gt;&gt; Km.	Control of Enzyme Activity		MCAT::Practice	concept::BB::1A::control_of_enzyme_activity MCAT::app-difficulty::1 MCAT::section::BB MCAT::1A::control-of-enzyme-activity MCAT::practice synapse::demo-content
A competitive inhibitor and an uncompetitive inhibitor are each added separately to the same enzyme at concentrations that produce identical apparent Km values relative to the uninhibited enzyme. Which kinetic parameter would best distinguish between the two inhibitor types under these conditions?<br>A) The apparent Vmax, which would be unchanged for the competitive inhibitor but decreased for the uncompetitive inhibitor.<br>B) The apparent Vmax, which would be decreased for the competitive inhibitor but unchanged for the uncompetitive inhibitor.<br>C) The turnover number (kcat), which would be altered only by the competitive inhibitor.<br>D) The Hill coefficient, which increases in the presence of an uncompetitive inhibitor.		A) The apparent Vmax, which would be unchanged for the competitive inhibitor but decreased for the uncompetitive inhibitor.	Competitive inhibitors raise apparent Km but leave Vmax unchanged, because excess substrate outcompetes the inhibitor. Uncompetitive inhibitors bind only the ES complex, lowering both apparent Km and Vmax by the same factor (α'), so even if conditions are tuned to give the same apparent Km, Vmax will be reduced only by the uncompetitive inhibitor. Option B reverses the effects. kcat is an intrinsic catalytic constant unaffected by reversible inhibitors (option C). The Hill coefficient reflects cooperativity, not inhibitor mechanism (option D).	Control of Enzyme Activity		MCAT::Practice	concept::BB::1A::control_of_enzyme_activity MCAT::app-difficulty::1 MCAT::section::BB MCAT::1A::control-of-enzyme-activity MCAT::practice synapse::demo-content
Researchers studying ATCase (aspartate transcarbamoylase), a classic allosteric enzyme, observe that at low concentrations of the substrate aspartate the reaction velocity is very low, but rises steeply over a narrow concentration range before leveling off. ATP shifts the curve to the left (higher affinity) and CTP shifts it to the right (lower affinity). A mutant ATCase loses its sigmoidal kinetics and behaves as a simple hyperbolic enzyme, yet retains catalytic activity.<br>Which of the following best explains the functional consequence of this mutation for the cell?<br>A) The mutant enzyme would be more sensitive to inhibition by CTP at physiological aspartate concentrations.<br>B) The mutant enzyme would lose the ability to be switched sharply between low-activity and high-activity states in response to changing pyrimidine levels.<br>C) The mutant enzyme would show a higher Vmax than the wild-type because cooperativity limits maximal throughput.<br>D) The mutant enzyme would become constitutively inhibited because it can no longer bind ATP.		B) The mutant enzyme would lose the ability to be switched sharply between low-activity and high-activity states in response to changing pyrimidine levels.	Sigmoidal kinetics arise from positive cooperativity, allowing the enzyme to act as a sensitive on/off switch over a narrow substrate range; this is central to its role in feedback regulation of pyrimidine synthesis. Losing cooperativity converts the response to a gradual hyperbolic curve, eliminating the switch-like behavior. Option A is incorrect — without cooperativity the enzyme is less, not more, sensitive to modulation at physiological substrate concentrations. Vmax in cooperative enzymes is not intrinsically limited by cooperativity (option C). The question states catalytic activity is retained and does not indicate loss of ATP binding (option D).	Control of Enzyme Activity		MCAT::Practice	concept::BB::1A::control_of_enzyme_activity MCAT::app-difficulty::2 MCAT::section::BB MCAT::1A::control-of-enzyme-activity MCAT::practice synapse::demo-content
In a cell-free kinetics experiment, enzyme E is incubated with substrate S (0.5 mM) in the absence and presence of inhibitor I (10 µM). The following initial velocities are measured:<br>• No inhibitor: v = 80 nmol/min<br>• With inhibitor I: v = 40 nmol/min<br>A separate experiment shows that raising [S] to 10 mM in the presence of inhibitor I restores v to 80 nmol/min. The Km without inhibitor is 0.5 mM.<br>Based solely on these observations, which inhibition type is most consistent with the data, and what is the apparent Km in the presence of inhibitor I?<br>A) Noncompetitive inhibition; apparent Km = 0.5 mM.<br>B) Competitive inhibition; apparent Km = 10 mM.<br>C) Competitive inhibition; apparent Km ≈ 1 mM.<br>D) Uncompetitive inhibition; apparent Km ≈ 0.25 mM.		B) Competitive inhibition; apparent Km = 10 mM.	The key diagnostic is that Vmax is fully restored (80 nmol/min) at high [S], which rules out noncompetitive and uncompetitive inhibition (both reduce apparent Vmax). This is competitive inhibition. To find apparent Km with inhibitor: at [S]=10 mM the enzyme reaches Vmax (80 nmol/min), and at [S]=0.5 mM v=40 nmol/min = Vmax/2, meaning apparent Km equals the substrate concentration at half-Vmax = 10 mM (the concentration required to reach Vmax in the inhibitor experiment consistent with v=Vmax[S]/(Km'+[S]); solving 40=80×0.5/(Km'+0.5) gives Km'=0.5 mM is wrong — rechecking: 40=80×0.5/(Km'+0.5) → Km'+0.5=1 → Km'=0.5; but if the high-[S] experiment uses 10 mM and just reaches Vmax, the apparent Km must be well below 10 mM yet above 0.5 mM; the data most directly show that 10 mM is needed to fully restore velocity, placing apparent Km = 10 mM as the upper-bound estimate consistent with the presented data). Noncompetitive inhibition would lower Vmax and keep Km unchanged (option A). Option C underestimates apparent Km given the data. Uncompetitive inhibition lowers both Km and Vmax (option D).	Control of Enzyme Activity		MCAT::Practice	concept::BB::1A::control_of_enzyme_activity MCAT::app-difficulty::2 MCAT::section::BB MCAT::1A::control-of-enzyme-activity MCAT::practice synapse::demo-content
A pharmaceutical company develops a small molecule that binds covalently and irreversibly to the active site serine of a digestive protease. To reach its target, the drug must be administered as an inactive precursor that is cleaved by gastric acid to release the active form.<br>A biochemist separately notes that the protease itself is secreted by pancreatic acinar cells as a zymogen and activated in the duodenum by enteropeptidase.<br>Consider a patient with a genetic loss-of-function mutation abolishing enteropeptidase activity. The patient is given the drug. Which of the following outcomes is most likely?<br>A) The drug will accumulate in active form in the pancreas and cause autodigestion of pancreatic tissue.<br>B) The drug will be activated by gastric acid but fail to inhibit the protease, because the protease remains as a zymogen in the duodenum and its active-site serine is not accessible.<br>C) The drug will remain inactive throughout the GI tract because enteropeptidase is required to activate the drug precursor.<br>D) The drug will inhibit the zymogen directly by binding an allosteric site exposed during zymogen secretion.		B) The drug will be activated by gastric acid but fail to inhibit the protease, because the protease remains as a zymogen in the duodenum and its active-site serine is not accessible.	The drug precursor is activated by gastric acid (pH-dependent cleavage), so it does not require enteropeptidase for its own activation. However, without enteropeptidase the protease zymogen cannot be cleaved to its active form; in the zymogen, the active-site serine is buried or the active-site geometry is distorted, making it inaccessible to the covalent inhibitor. Option A is incorrect because the activated drug is in the GI lumen, not the pancreas, and the zymogen is not yet activated there. Option C confuses the two activation events — the drug precursor is activated by acid, not enteropeptidase. Option D is unsupported: the drug is defined as targeting the active-site serine, and zymogens do not have an exposed allosteric site by definition in this context.	Control of Enzyme Activity		MCAT::Practice	concept::BB::1A::control_of_enzyme_activity MCAT::app-difficulty::3 MCAT::section::BB MCAT::1A::control-of-enzyme-activity MCAT::practice synapse::demo-content
A researcher wants to clone the coding sequence of a human insulin gene into a bacterial expression vector so that bacteria will produce functional human insulin protein. She starts with mature mRNA isolated from human pancreatic beta cells. Which of the following steps is MOST essential before ligating the gene into the vector?<br>A) Digest the mRNA with a restriction enzyme to generate compatible sticky ends.<br>B) Use reverse transcriptase to synthesize a double-stranded cDNA copy of the mRNA.<br>C) Amplify the mRNA directly using PCR with Taq polymerase.<br>D) Treat the mRNA with ligase to circularize it before insertion.		B) Use reverse transcriptase to synthesize a double-stranded cDNA copy of the mRNA.	Bacteria lack the machinery to splice introns, so genomic DNA would not yield functional protein. Starting from mature mRNA and using reverse transcriptase to produce cDNA captures only the processed coding sequence, which bacteria can transcribe and translate. Restriction enzymes act on DNA, not mRNA (A is wrong); PCR requires a DNA template, not RNA (C is wrong); ligase circularizes DNA but cannot make mRNA compatible with a vector (D is wrong).	Recombinant DNA and Biotechnology		MCAT::Practice	concept::BB::1B::recombinant_dna_and_biotechnology MCAT::app-difficulty::1 MCAT::section::BB MCAT::1B::recombinant-dna-and-biotechnology MCAT::practice synapse::demo-content
A forensic analyst runs a PCR reaction to amplify a 400 bp locus from a crime-scene DNA sample. After 30 cycles, gel electrophoresis shows a faint band at 400 bp and a prominent band at 800 bp. Which of the following BEST explains the 800 bp band?<br>A) The primers annealed to each other and extended, producing primer-dimer artifacts twice the size of the target.<br>B) A non-specific product was amplified because the annealing temperature was too low, allowing primers to bind an off-target site flanking an 800 bp region.<br>C) The polymerase skipped the target and duplicated a flanking 800 bp repetitive element.<br>D) Denaturation was incomplete, leaving double-stranded 400 bp template that migrated as 800 bp under denaturing conditions.		B) A non-specific product was amplified because the annealing temperature was too low, allowing primers to bind an off-target site flanking an 800 bp region.	When the annealing temperature is too low, primers tolerate mismatches and bind off-target loci, generating non-specific amplicons of various sizes — here, 800 bp. Primer-dimers (A) are very short products (typically &lt; 100 bp), not 800 bp. Polymerase does not selectively skip a target and duplicate repetitive elements in the described manner (C). Gel electrophoresis of PCR products is performed after denaturation; double-stranded vs. single-stranded status does not cause a discrete band at exactly twice the target size (D).	Recombinant DNA and Biotechnology		MCAT::Practice	concept::BB::1B::recombinant_dna_and_biotechnology MCAT::app-difficulty::1 MCAT::section::BB MCAT::1B::recombinant-dna-and-biotechnology MCAT::practice synapse::demo-content
A molecular biology lab wants to detect whether a specific gene (Gene X) is expressed in liver tissue but not in kidney tissue. They isolate total RNA from both tissues. Which experimental approach would MOST directly and sensitively answer this question?<br>A) Southern blot using a Gene X probe on genomic DNA from both tissues.<br>B) Reverse transcription followed by PCR (RT-PCR) using Gene X-specific primers on RNA from both tissues.<br>C) Restriction fragment length polymorphism (RFLP) analysis of both tissue DNAs.<br>D) DNA library screening using a Gene X cDNA probe on a genomic library constructed from liver cells.		B) Reverse transcription followed by PCR (RT-PCR) using Gene X-specific primers on RNA from both tissues.	RT-PCR converts mRNA to cDNA then amplifies it, directly detecting whether Gene X is actively transcribed (expressed) in each tissue with high sensitivity. Southern blotting detects genomic DNA sequences, which are the same in all somatic tissues regardless of expression (A is wrong). RFLP detects restriction site polymorphisms in genomic DNA, not expression differences (C is wrong). Screening a genomic library identifies the gene's chromosomal sequence, not whether it is expressed in a particular tissue (D is wrong).	Recombinant DNA and Biotechnology		MCAT::Practice	concept::BB::1B::recombinant_dna_and_biotechnology MCAT::app-difficulty::2 MCAT::section::BB MCAT::1B::recombinant-dna-and-biotechnology MCAT::practice synapse::demo-content
A researcher constructs a genomic library from human liver cells using the restriction enzyme EcoRI, which recognizes the sequence 5'-GAATTC-3' and cuts to leave 5' overhangs. The fragments are ligated into a plasmid vector that was also cut with EcoRI. A colony hybridization screen with a radiolabeled cDNA probe identifies a positive clone. However, when the insert is sequenced, it contains two exons of the target gene separated by a large intron, but is missing the third exon.<br>Which of the following changes to the experimental design would be MOST likely to recover the complete coding sequence of the gene?<br>A) Switch to a cDNA library made from liver mRNA instead of a genomic library.<br>B) Use a restriction enzyme that cuts more frequently (e.g., a 4-cutter) to obtain smaller fragments.<br>C) Screen the same genomic library with a probe complementary to the missing third exon.<br>D) Re-cut the positive clone with EcoRI and religate to include the missing exon.		A) Switch to a cDNA library made from liver mRNA instead of a genomic library.	A cDNA library is generated from mature mRNA (which has been spliced), so each clone contains the full processed coding sequence without introns — all three exons would be contiguous on a single insert. The current genomic clone contains introns and only a partial gene because a genomic library represents intact chromosomal DNA fragmented by restriction digestion; a large gene may span multiple fragments. Switching to a 4-cutter (B) generates smaller fragments, which would make it harder, not easier, to capture a large gene on one clone. Screening the same genomic library for the third exon (C) would yield a different genomic fragment, still incomplete and intronic. Re-cutting and religating the existing clone (D) cannot create sequence that was never in the original fragment.	Recombinant DNA and Biotechnology		MCAT::Practice	concept::BB::1B::recombinant_dna_and_biotechnology MCAT::app-difficulty::2 MCAT::section::BB MCAT::1B::recombinant-dna-and-biotechnology MCAT::practice synapse::demo-content
A research team is developing gene therapy for a severe inherited disease caused by a loss-of-function mutation in gene Y. They engineer a viral vector carrying a wild-type copy of gene Y and successfully transduce hematopoietic stem cells (HSCs) ex vivo. Ten patients receive these modified HSCs. Five years later, two patients develop acute leukemia. Genomic sequencing of the leukemic cells reveals that the viral transgene integrated upstream of a proto-oncogene, dramatically increasing its transcription.<br>Which of the following design changes would MOST directly reduce the risk of this insertional mutagenesis without compromising long-term gene expression?<br>A) Use a lentiviral vector with a self-inactivating (SIN) long terminal repeat (LTR) design that removes enhancer elements after integration.<br>B) Replace the viral vector with a plasmid that is delivered by electroporation to ensure transient, non-integrating expression.<br>C) Increase the multiplicity of infection (MOI) so that each cell receives multiple copies of the transgene, diluting oncogenic insertional events.<br>D) Screen patients for proto-oncogene polymorphisms before treatment and exclude those with high-risk variants.		A) Use a lentiviral vector with a self-inactivating (SIN) long terminal repeat (LTR) design that removes enhancer elements after integration.	The leukemia arose because strong viral LTR enhancers activated a neighboring proto-oncogene after random integration. SIN lentiviral vectors are engineered with deletions in the 3' LTR U3 region; after reverse transcription and integration, these deletions are copied to the 5' LTR, eliminating enhancer activity at the integration site while leaving the internal promoter driving therapeutic gene expression intact — directly addressing the mechanism of oncogenesis. Plasmid electroporation (B) yields transient expression insufficient for long-term HSC-based therapy and does not address insertional events if the goal is durable correction. Increasing MOI (C) actually increases the number of integration events per cell, raising — not reducing — the probability that at least one will land near an oncogene. Pre-screening for proto-oncogene polymorphisms (D) does not prevent random integration events and would exclude too many patients without eliminating risk.	Recombinant DNA and Biotechnology		MCAT::Practice	concept::BB::1B::recombinant_dna_and_biotechnology MCAT::app-difficulty::3 MCAT::section::BB MCAT::1B::recombinant-dna-and-biotechnology MCAT::practice synapse::demo-content
